guard_tone1, 0x1f482,0x1f3fb
guard_tone2, 0x1f482,0x1f3fc
guard_tone3, 0x1f482,0x1f3fd
guard_tone4, 0x1f482,0x1f3fe
guard_tone5, 0x1f482,0x1f3ff
man_guard, 0x1f482,0x2642
man_guard_tone5, 0x1f482,0x1f3ff,0x2642
man_guard_tone4, 0x1f482,0x1f3fe,0x2642
man_guard_tone3, 0x1f482,0x1f3fd,0x2642
man_guard_tone2, 0x1f482,0x1f3fc,0x2642
man_guard_tone1, 0x1f482,0x1f3fb,0x2642
woman_detective, 0x1f575,0x2640
woman_detective_tone1, 0x1f575,0x1f3fb,0x2640
woman_detective_tone2, 0x1f575,0x1f3fc,0x2640
woman_detective_tone3, 0x1f575,0x1f3fd,0x2640
woman_detective_tone4, 0x1f575,0x1f3fe,0x2640
woman_detective_tone5, 0x1f575,0x1f3ff,0x2640
detective, 0x1f575
detective_tone1, 0x1f575,0x1f3fb
detective_tone2, 0x1f575,0x1f3fc
detective_tone3, 0x1f575,0x1f3fd
detective_tone4, 0x1f575,0x1f3fe
detective_tone5, 0x1f575,0x1f3ff
man_detective, 0x1f575,0x2642
man_detective_tone5, 0x1f575,0x1f3ff,0x2642
man_detective_tone4, 0x1f575,0x1f3fe,0x2642
man_detective_tone3, 0x1f575,0x1f3fd,0x2642
man_detective_tone2, 0x1f575,0x1f3fc,0x2642
man_detective_tone1, 0x1f575,0x1f3fb,0x2642
woman_health_worker, 0x1f469,0x2695
woman_health_worker_tone1, 0x1f469,0x1f3fb,0x2695
woman_health_worker_tone2, 0x1f469,0x1f3fc,0x2695
woman_health_worker_tone3, 0x1f469,0x1f3fd,0x2695
woman_health_worker_tone4, 0x1f469,0x1f3fe,0x2695
woman_health_worker_tone5, 0x1f469,0x1f3ff,0x2695
man_health_worker, 0x1f468,0x2695
man_health_worker_tone1, 0x1f468,0x1f3fb,0x2695
man_health_worker_tone2, 0x1f468,0x1f3fc,0x2695
man_health_worker_tone3, 0x1f468,0x1f3fd,0x2695
man_health_worker_tone4, 0x1f468,0x1f3fe,0x2695
man_health_worker_tone5, 0x1f468,0x1f3ff,0x2695
woman_farmer, 0x1f469,0x1f33e
woman_farmer_tone1, 0x1f469,0x1f3fb,0x1f33e
woman_farmer_tone2, 0x1f469,0x1f3fc,0x1f33e
woman_farmer_tone3, 0x1f469,0x1f3fd,0x1f33e
woman_farmer_tone4, 0x1f469,0x1f3fe,0x1f33e
woman_farmer_tone5, 0x1f469,0x1f3ff,0x1f33e
man_farmer, 0x1f468,0x1f33e
man_farmer_tone1, 0x1f468,0x1f3fb,0x1f33e
man_farmer_tone2, 0x1f468,0x1f3fc,0x1f33e
man_farmer_tone3, 0x1f468,0x1f3fd,0x1f33e
man_farmer_tone4, 0x1f468,0x1f3fe,0x1f33e
man_farmer_tone5, 0x1f468,0x1f3ff,0x1f33e
woman_cook, 0x1f469,0x1f373
woman_cook_tone1, 0x1f469,0x1f3fb,0x1f373
woman_cook_tone2, 0x1f469,0x1f3fc,0x1f373
woman_cook_tone3, 0x1f469,0x1f3fd,0x1f373
woman_cook_tone4, 0x1f469,0x1f3fe,0x1f373
woman_cook_tone5, 0x1f469,0x1f3ff,0x1f373
man_cook, 0x1f468,0x1f373
man_cook_tone1, 0x1f468,0x1f3fb,0x1f373
man_cook_tone2, 0x1f468,0x1f3fc,0x1f373
man_cook_tone3, 0x1f468,0x1f3fd,0x1f373
man_cook_tone4, 0x1f468,0x1f3fe,0x1f373
man_cook_tone5, 0x1f468,0x1f3ff,0x1f373
woman_student, 0x1f469,0x1f393
woman_student_tone1, 0x1f469,0x1f3fb,0x1f393
woman_student_tone2, 0x1f469,0x1f3fc,0x1f393
woman_student_tone3, 0x1f469,0x1f3fd,0x1f393
woman_student_tone4, 0x1f469,0x1f3fe,0x1f393
woman_student_tone5, 0x1f469,0x1f3ff,0x1f393
man_student, 0x1f468,0x1f393
man_student_tone1, 0x1f468,0x1f3fb,0x1f393
man_student_tone2, 0x1f468,0x1f3fc,0x1f393
man_student_tone3, 0x1f468,0x1f3fd,0x1f393
man_student_tone4, 0x1f468,0x1f3fe,0x1f393
man_student_tone5, 0x1f468,0x1f3ff,0x1f393
woman_singer, 0x1f469,0x1f3a4
woman_singer_tone1, 0x1f469,0x1f3fb,0x1f3a4
woman_singer_tone2, 0x1f469,0x1f3fc,0x1f3a4
woman_singer_tone3, 0x1f469,0x1f3fd,0x1f3a4
woman_singer_tone4, 0x1f469,0x1f3fe,0x1f3a4
woman_singer_tone5, 0x1f469,0x1f3ff,0x1f3a4
man_singer, 0x1f468,0x1f3a4
man_singer_tone1, 0x1f468,0x1f3fb,0x1f3a4
man_singer_tone2, 0x1f468,0x1f3fc,0x1f3a4
man_singer_tone3, 0x1f468,0x1f3fd,0x1f3a4
man_singer_tone4, 0x1f468,0x1f3fe,0x1f3a4
man_singer_tone5, 0x1f468,0x1f3ff,0x1f3a4
woman_teacher, 0x1f469,0x1f3eb
woman_teacher_tone1, 0x1f469,0x1f3fb,0x1f3eb
woman_teacher_tone2, 0x1f469,0x1f3fc,0x1f3eb
woman_teacher_tone3, 0x1f469,0x1f3fd,0x1f3eb
woman_teacher_tone4, 0x1f469,0x1f3fe,0x1f3eb
woman_teacher_tone5, 0x1f469,0x1f3ff,0x1f3eb
man_teacher, 0x1f468,0x1f3eb
man_teacher_tone1, 0x1f468,0x1f3fb,0x1f3eb
man_teacher_tone2, 0x1f468,0x1f3fc,0x1f3eb
man_teacher_tone3, 0x1f468,0x1f3fd,0x1f3eb
